鱼,fish,11,0,11,2.7,4,2,2025-08-07
鸟,bird,10,1,11,2.7,4,2,2025-08-07
狗,dog,11,0,11,2.7,4,2,2025-08-07
猫,cat,11,0,11,2.6,1,1,2025-08-07
言,speech; words,4,2,6,2.6,1,1,2025-08-07
窗,window,13,1,14,2.7,4,2,2025-08-07
屋,roof,12,2,14,2.7,4,2,2025-08-07
足,foot; leg,12,2,14,2.7,4,2,2025-08-07
头,head,13,1,14,2.7,4,2,2025-08-07
身,body,12,2,14,2.7,4,2,2025-08-07
衣,clothing,12,2,14,2.7,4,2,2025-08-07
食,eat; food,13,1,14,2.7,4,2,2025-08-07
饮,drink,13,1,14,2.7,4,2,2025-08-07
走,walk; go,14,0,14,2.7,4,2,2025-08-07
侄子,nephew,39,8,47,2.5,0,0,1970-01-01
侄女,niece,30,4,34,2.5,0,0,1970-01-01
什么时候,when,30,9,39,2.6,1,1,2025-08-07
怎么,how,30,7,37,2.6,1,1,2025-08-07
为什么,why,33,5,38,2.6,1,1,2025-08-07
谁,who,30,8,38,2.5,0,0,1970-01-01
哪个,which,37,1,38,2.6,1,1,2025-08-07
不,no,35,3,38,2.6,1,1,2025-08-07
没有,not have; there isn't,31,7,38,2.6,1,1,2025-08-07
结束,finish; end,11,3,14,2.5,0,0,1970-01-01
停,stop,13,1,14,2.6,1,1,2025-08-07
