I want to store multiple names like Alice Bob Carol. What holds a list of items?,[],10,0,10
I have names = [Alice Bob]. How do I add Carol to this list?,names << Carol or names.push(Carol),6,4,10
I have ages = [25 30 35]. I want only ages over 30. How do I filter a list?,ages.select,9,1,10
I want to store person info like name and age together. What holds key-value pairs?,{},10,0,10
I have person = {name: Alice age: 25}. How do I get Alice's age?,person[:age],7,3,10
I want to check if something exists before using it. How do I test if a variable has no value?,variable.nil?,9,1,10
I'm writing person.name but person might be nil. How do I avoid crashes?,person&.name,8,2,10
I have name = Alice. How do I show Hello Alice using the stored name?,puts with #{name},7,3,10
I have numbers = [1 2 3 4 5]. How do I get the first item?,numbers[0] or numbers.first,3,1,4
I have numbers = [1 2 3 4 5]. How do I get the last item?,numbers[-1] or numbers.last,4,0,4
I have fruits = [apple banana]. How do I get the total count?,fruits.length or fruits.size,3,1,4
I have data = {a: 1 b: 2 c: 3}. How do I get all the keys?,data.keys,4,0,4
I have data = {a: 1 b: 2 c: 3}. How do I get all the values?,data.values,4,0,4
I have numbers = [5 2 8 1]. How do I put them in order?,numbers.sort,4,0,4
I have words = [hello world]. How do I combine them into one string?,words.join,3,1,4
I have numbers = [1 2 3]. How do I transform each to double?,numbers.map,3,1,4
I have mixed = [1 hello 3.5]. How do I keep only numbers?,mixed.select or mixed.filter,4,3,7
I have person = {name: Alice}. How do I add age: 25 to it?,person[:age] = 25,3,2,5
I have numbers = [1 2 3 4]. How do I remove the last item?,numbers.pop,4,0,4
